User_Id,Session ID,URL1,URL2,URL3,URL4,URL5,URL6,URL7,URL8,URL9,URL10,URL11,URL12,URL13,URL14,Time
98047837,1,detail.ju.taobao.com/home.htm,item.taobao.com/item.htm,meal.taobao.com/mealDetail.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,detail.taobao.com/meal_detail.htm,detail.taobao.com/meal_detail.htm,detail.ju.taobao.com/home.htm,detail.taobao.com/meal_detail.htm,meal.taobao.com/mealDetail.htm,meal.taobao.com/mealDetail.htm,detail.taobao.com/meal_detail.htm,mm.taobao.com/,taojinbi.taobao.com/,2014-12-06 02
97726136,2,detail.ju.taobao.com/home.htm,detail.taobao.com/meal_detail.htm,item.taobao.com/item.htm,detail.taobao.com/meal_detail.htm,item.taobao.com/item.htm,detail.taobao.com/meal_detail.htm,detail.taobao.com/meal_detail.htm,meal.taobao.com/mealDetail.htm,detail.taobao.com/meal_detail.htm,meal.taobao.com/mealDetail.htm,detail.ju.taobao.com/home.htm,qing.taobao.com/,www.taobao.com/market/fashion/dapei2013.php,trade.taobao.com/trade/itemlist/listBoughtItems.htm,2014-12-09 20
98607707,3,s8.taobao.com/search,re.taobao.com/search,s8.taobao.com/search,s.taobao.com/search,s8.taobao.com/search,search.taobao.com/search,,item.taobao.com/item.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,detail.taobao.com/meal_detail.htm,,shuo.taobao.com/microshop/shop_middle_page.htm,mission.jianghu.taobao.com/umissionList.htm,2014-12-18 11
98662432,4,www.taobao.com/market/fashion/dapei2013.php,ju.taobao.com/,www.taobao.com/market/fashion/dapei2013.php,www.taobao.com/market/fashion/dapei2013.php,ju.taobao.com/,size.taobao.com/wardrobe/stature.htm,,detail.ju.taobao.com/home.htm,meal.taobao.com/mealDetail.htm,detail.ju.taobao.com/home.htm,,vip.taobao.com/,rate.taobao.com/remarkSeller4C.htm,guang.taobao.com/,2014-12-06 10
98145908,5,dongtai.taobao.com/,admin.uz.taobao.com/index.do,size.taobao.com/wardrobe/stature.htm,mm.taobao.com/,guang.taobao.com/,www.taobao.com/market/fashion/dapei2013.php,,detail.taobao.com/meal_detail.htm,meal.taobao.com/mealDetail.htm,item.taobao.com/item.htm,,qing.taobao.com/,taobao.com/my_taobao.htm,try.taobao.com/item.htm,2014-12-16 21
93784494,6,taobao.com/my_taobao.htm,rate.taobao.com/remarkSeller4C.htm,rate.taobao.com/myRate.htm,taobao.com/my_taobao.htm,,meal.taobao.com/mealDetail.htm,detail.taobao.com/meal_detail.htm,detail.taobao.com/meal_detail.htm,,detail.ju.taobao.com/home.htm,hangyeshequ.taobao.com/,mission.jianghu.taobao.com/umissionList.htm,mission.jianghu.taobao.com/umissionList.htm,i.taobao.com/home.htm,2014-12-03 20
94832743,7,s8.taobao.com/search,s8.taobao.com/search,search.taobao.com/search,s8.taobao.com/search,s.taobao.com/search,s.taobao.com/search,,detail.ju.taobao.com/home.htm,meal.taobao.com/mealDetail.htm,item.taobao.com/item.htm,meal.taobao.com/mealDetail.htm,,detail.taobao.com/meal_detail.htm,meal.taobao.com/mealDetail.htm,2014-12-13 20
95290487,8,rate.taobao.com/remarkSeller4C.htm,trade.taobao.com/trade/itemlist/listBoughtItems.htm,wuliu.taobao.com/user/order_detail_new.htm,wuliu.taobao.com/user/order_detail_new.htm,,detail.taobao.com/meal_detail.htm,detail.ju.taobao.com/home.htm,detail.ju.taobao.com/home.htm,,guang.taobao.com/,meal.taobao.com/mealDetail.htm,www.taobao.com/market/fashion/dapei2013.php,re.taobao.com/search,rate.taobao.com/myRate.htm,2014-11-27 16
96610296,9,re.taobao.com/search,s.taobao.com/search,search.taobao.com/search,search.taobao.com/search,s8.taobao.com/search,search.taobao.com/search,,detail.ju.taobao.com/home.htm,item.taobao.com/item.htm,detail.taobao.com/meal_detail.htm,detail.taobao.com/meal_detail.htm,,mm.taobao.com/,trade.taobao.com/trade/itemlist/listBoughtItems.htm,2014-12-11 23
100684618,10,detail.taobao.com/meal_detail.htm,meal.taobao.com/mealDetail.htm,detail.taobao.com/meal_detail.htm,item.taobao.com/item.htm,meal.taobao.com/mealDetail.htm,detail.taobao.com/meal_detail.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,s.taobao.com/search,guang.taobao.com/,dongtai.taobao.com/,2014-12-05 23
100509623,11,detail.taobao.com/meal_detail.htm,meal.taobao.com/mealDetail.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,meal.taobao.com/mealDetail.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,detail.ju.taobao.com/home.htm,item.taobao.com/item.htm,item.taobao.com/item.htm,search.taobao.com/search,mission.jianghu.taobao.com/umissionList.htm,qing.taobao.com/,2014-12-08 17
